5742506566221824,Agua com Gas Prata 310ml,60,1.8
5669544198668288,Amstel,60,2.30
5113123132407808,Baton ao Leite,150,0.60
5712721739776000,Baton Branco,150,0.60
5635304752939008,Bis Xtra,75,2.10
5749479856668672,Bis Xtra Branco,75,2.10
5633586833129472,Bolinho Ana Maria Banana com Chocolate,48,1.20
6552349279518720,Bolinho Ana Maria Baunilha,42,1.20
5636318331666432,Bolinho Ana Maria Cobertura Chocolate,48,1.20
6247679780716544,Bolinho Ana Maria Duplo Chocolate,48,1.2
5711286146957312,Bolinho Ana Maria Napolitano,64,1.2
5631986051842048,Bombom Ouro Branco,50,0.60
6309005504806912,Bombom Sonho de Valsa,50,0.60
5165928044036096,Cebolitos,20,3.20
5397466274856960,Charge 40g,90,01.05
5676073085829120,Cheetos Requeijão,20,2.00
5183105597964288,Chocolate Lacta 5 Star,90,1.40
6492052246233088,Chokito 32g,90,1.00
5700305828184064,Club social Integral,60,0.45
5161210659995648,Club social Original,60,0.45
5751919624585216,Coca Cola 220ml,96,1.40
5444637279911936,Coca Cola Coffee 220ml,24,1.90
6078187830247424,Coca Cola Zero 220ml,24,1.40
5705707923963904,Cookies Toddy Malhado,80,1.95
6247647635570688,Cookies Toddy Original,80,1.20
5641142922117120,Diamante Negro,100,01.05
6307091459342336,Doritos,19,3.20
5128431872245760,Energético Red Bull 250ml,48,5.80
5098238218600448,Fandangos Presunto,19,2.0
5167268409376768,Fanta Laranja 220ml,30,1.40
6241666692284416,Fanta Uva 220ml,18,1.40
5115766785441792,Feel Good Cha Branco,24,3.2
5984659372507136,Feel Good Cha Branco com Lichia,24,3.2
6514033419091968,Feel Good Cha Verde,24,3.2
5443593183428608,Feel Good Cha Verde Laranja/Gengibre,24,3.2
5638739317489664,Feel Good Cha Vermelho Amora,24,3.2
5716735923585024,Fini Morango,36,0.50
5488901179310080,Fini Tubes 3 cores,36,0.50
5166002601984000,Fini Tutti Fruti,36,0.50
5712626898173952,Fini Uva,36,0.50
5067355793129472,Fruit Tella Caramelo,30,1.15
5124820173848576,Fruit Tella Morango,48,1.15
5717271485874176,Guaraná lata 350ml,60,1.90
5767545923567616,Halls Cereja,42,0.70
5180943585247232,Halls Extra Forte,42,0.70
5910924011503616,Halls Menta,21,0.70
5114890746331136,Halls Morango,42,0.70
6053054612766720,Heineken,60,3.20
5838129063788544,Kinder Bueno,60,4.85
6569493090271232,Kinder Bueno White,45,5.00
5660980839186432,Lacta ao Leite 20g,100,01.05
5979117388300288,Laka 20g,100,01.05
5671404557041664,Laka Oreo,100,01.05
5213437260988416,Lollo 28g,90,01.05
5746055551385600,Mentos Fruit,48,1.15
6226408896462848,Mentos Frutas Vermelhas,48,1.15
5115831881039872,Mentos Menta,48,1.15
5662692954079232,Oreo,32,1.10
6224267913986048,Oreo Chocolate,32,1.10
5642554087309312,Paçoquita (unidade),200,0.30
5077540167221248,Pão de Mel,70,0.50
6316055592960000,Pastilha Garoto,120,0.50
5156288090603520,Pipoca Microondas Natural,62,
5139419774320640,Pipoca Nhac,50,0.30
5648554290839552,Polenguinho 17g,120,0.50
5275179110367232,Prestígio Branco,60,0.95
4815207624867840,Prestígio Dark 33g,60,1.00
5670071573676032,Ruffles,30,2.79
5351707391295488,Schweppes 350ml,30,2.00
5072025831866368,Sensação,120,1.50
5076324926357504,Snickers 52g,80,1.70
5745947606777856,Sprite 220ml,24,1.80
5182997653356544,Suco Del Valle Goiaba,18,2.50
6224138125443072,Suco Del Valle Maracujá,12,2.50
5468446145904640,Suco Del Valle Pessego,18,2.50
5148336193536000,Suco Del Valle Uva,18,2.50
5698949524488192,Talento Amendoas e Passas,45,1.50
5131055862382592,Talento Avelã,60,1.50
4832638648975360,Talento Branco Cereais e Passas,30,1.50
5163349922807808,Talento Castanha do Para,60,1.50
5115895366025216,Talento Diet Avelã,60,2.50
5133395210272768,Talento Meio Amargo Amendoas,30,1.50
6310694467141632,Tic Tac Laranja,42,1.30
5702666986455040,Tic Tac Menta,42,1.30
5085604337418240,Toddynho 200ml,54,4.65
5757334940811264,Torcida Bacon,20,1.30
4909449173008384,Torcida Pizza,20,1.30
6025368515379200,Trident Hortela,42,0.90
6027422583488512,Trident Melancia,42,0.90
4903319583588352,Trident Menta,42,0.90
5397306857750528,Trident Morango,42,0.90
5200442736771072,Trident Tutti Fruti,42,0.90
6035554063876096,Twix 15g,150,0.55
