6008645305237504,Abacaxi com Coco Flormel,,-2,1,3,"0,00","0,00",,"0,00","0,00","5.122,55","7.801,46"
5535255888920576,Abobora com Coco Flormel,,17,14,-3,"0,00","0,00",,"0,00%",,,
5742506566221824,Agua com Gas Prata 310ml,,14,1,-13,"0,00","0,00",,,,,
5831326724784128,Agua de Coco Obrigado,,-2,0,2,"0,00","0,00",,,,,
5265049933316096,Alfajor Perrotta,,0,0,0,"0,00","0,00",,Valor inserido,"5.670,10",,
5760820306771968,Amendoim japonês 50g,,-3,0,3,"0,00","0,00",,,,,
5669544198668288,Amstel,,13,0,-13,"0,00","0,00",,,,,
5635498630447104,Baconzitos,,0,0,0,"0,00","0,00",,,,,
5764841033695232,Bala Gengibrinha Gengibre Extra Forte,,0,0,0,"0,00","0,00",,,,,
5696345163694080,Bala Gengibrinha Gengibre e Hortelã,,0,0,0,"0,00","0,00",,,,,
4693925398839296,Bala Gengibrinha Gengibre e Mel,,-1,0,1,"0,00","0,00",,,,transações até 03/01,
5711401439985664,"Bala Gengibrinha Gengibre, Cravo e Canela",,0,0,0,"0,00","0,00",,,,,
5701847285235712,Bala de Goma,,1,0,-1,"0,00","0,00",,,,,
5742636757417984,Barra Mixed Nuts sabores diversos,,0,0,0,"0,00","0,00",,,,,
5726299876229120,Barrinha Bauducco Chocolate,,17,2,-15,"0,00","0,00",,,,,
5133423731539968,Barrinha Bauducco Goiabinha,,-1,14,15,"0,00","0,00",,,,,
4807569277190144,Batata Doce Chips,,0,0,0,"0,00","0,00",,,,,
5712721739776000,Baton Branco,,68,63,-5,"0,00","0,00",,,,,
6570801176248320,Baton Creme,,-3,0,3,"0,00","0,00",,,,,
5113123132407808,Baton ao Leite,,71,67,-4,"0,00","0,00",,,,,
5746469042651136,Belvita Avelã e Cacau,,20,19,-1,"0,00","0,00",,,,,
5097951932186624,Belvita Cacau e Cereais,,15,19,4,"0,00","0,00",,,,,
6183705739526144,Belvita Leite,,18,15,-3,"0,00","0,00",,,,,
6255967834472448,Belvita Maça e Canela,,12,12,0,"0,00","0,00",,,,,
5658044692168704,Belvita Mel e Cacau,,-5,18,23,"0,00","0,00",,,,,
5635304752939008,Bis Xtra,,15,15,0,"0,00","0,00",,,,,
5749479856668672,Bis Xtra Branco,,30,0,-30,"0,00","0,00",,,,,
5722845195796480,Bis Xtra Oreo,,-27,0,27,"0,00","0,00",,,,,
5633586833129472,Bolinho Ana Maria Banana com Chocolate,,-5,0,5,"0,00","0,00",,,,,
4840304897163264,Bolinho Ana Maria Cenoura com Chocolate,,-1,1,2,"0,00","0,00",,,,,
5691686818676736,Bolinho Ana Maria Chocolate,,15,11,-4,"0,00","0,00",,,,,
5636318331666432,Bolinho Ana Maria Cobertura Chocolate,,4,1,-3,"0,00","0,00",,,,,
6247679780716544,Bolinho Ana Maria Duplo Chocolate,,12,10,-2,"0,00","0,00",,,,,
5711286146957312,Bolinho Ana Maria Napolitano,,22,21,-1,"0,00","0,00",,,,,
5709941587312640,Bolinho Bauducco Morango,,-1,0,1,"0,00","0,00",,,,,
4661688531943424,Bolinho Baunilha com Avela Flormel,,0,0,0,"0,00","0,00",,,,,
6508034171863040,Bolinho Chocolate com Avela Flormel,,0,0,0,"0,00","0,00",,,,,
4678446823243776,Bolinho Goiabada Flormel,,0,0,0,"0,00","0,00",,,,,
5083113893920768,Bombom Chocolate Alpino,,128,103,-25,"0,00","0,00",,,,,
5631986051842048,Bombom Ouro Branco,,6,3,-3,"0,00","0,00",,,,,
4802439525957632,Bombom Serenata de Amor,,0,0,0,"0,00","0,00",,,,,
6309005504806912,Bombom Sonho de Valsa,,13,15,2,"0,00","0,00",,,,,
5663766628794368,Capsula Nespresso Arpeggio,,8,11,3,"0,00","0,00",,,,,
5679289714343936,Capsula Nespresso Capriccio,,16,15,-1,"0,00","0,00",,,,,
5657424706928640,Capsula Nespresso Livanto,,13,12,-1,"0,00","0,00",,,,,
5743893538668544,Capsula Nespresso Ristretto,,3,13,10,"0,00","0,00",,,,,
5966204804005888,Capsula Nespresso Roma,,16,12,-4,"0,00","0,00",,,,,
5678716738863104,Capsula Nespresso Volluto,,11,11,0,"0,00","0,00",,,,,
5695159920492544,Castanha de Caju,,0,0,0,"0,00","0,00",,,,,
5657382461898752,Castanha do Para,,0,0,0,"0,00","0,00",,,,,
5165928044036096,Cebolitos,,0,0,0,"0,00","0,00",,,,,
6316240897310720,Ceboloko,,0,0,0,"0,00","0,00",,,,,
5397466274856960,Charge 40g,,15,17,2,"0,00","0,00",,,,,
4708677705531392,Cheetos Parmesao,,6,3,-3,"0,00","0,00",,,,,
5676073085829120,Cheetos Requeijão,,4,2,-2,"0,00","0,00",,,,,
5687539843203072,Chiclete Orbit,,0,0,0,"0,00","0,00",,,,,
5395920472506368,Chips Batata Doce & Mandioquinha,,0,0,0,"0,00","0,00",,,,,
5389966842527744,Chips Batata Doce Laranja&Roxa,,0,0,0,"0,00","0,00",,,,,
5761559947116544,Chips de Coco Original,,0,0,0,"0,00","0,00",,,,,
6226723662200832,Chips de coco com Gengibre,,0,0,0,"0,00","0,00",,,,,
5183105597964288,Chocolate Lacta 5 Star,,6,6,0,"0,00","0,00",,,,,
6492052246233088,Chokito 32g,,40,40,0,"0,00","0,00",,,,,
5656835071672320,Club Social Pizza,,-1,0,1,"0,00","0,00",,,,,
5768556834717696,Club Social Presunto,,0,0,0,"0,00","0,00",,,,,
5657415160692736,Club Social Queijo,,0,0,0,"0,00","0,00",,,,,
