5183105597964288,5 Star,36
5083113893920768,Alpino,140
5701847285235712,Bala de Goma,30
5726299876229120,Barrinha Bauducco Chocolate,40
5133423731539968,Barrinha Bauducco Goiabinha,40
5712721739776000,Baton Branco,30
6570801176248320,Baton Creme,30
5113123132407808,Baton ao Leite,60
5746469042651136,Belvita Avelã e Cacau,15
5097951932186624,Belvita Cacau e Cereais,15
6183705739526144,Belvita Leite,15
5658044692168704,Belvita Mel e Cacau,15
5635304752939008,Bis Xtra,30
5633586833129472,Bolinho Ana Maria Banana com Chocolate,24
4840304897163264,Bolinho Ana Maria Cenoura com Chocolate,24
6247679780716544,Bolinho Ana Maria Duplo Chocolate,24
5711286146957312,Bolinho Ana Maria Napolitano,24
5631986051842048,Bombom Ouro Branco,50
6309005504806912,Bombom Sonho de Valsa,50
5165928044036096,Cebolitos,4
5397466274856960,Charge 40g,60
4708677705531392,Cheetos Parmesao,6
5676073085829120,Cheetos Requeijão,4
6492052246233088,Chokito 32g,60
5700305828184064,Club social Integral,24
5161210659995648,Club social Original,24
6033203877904384,Cookies Toddy Chocolate,16
5705707923963904,Cookies Toddy Malhado,16
5641142922117120,Diamante Negro,40
5098238218600448,Fandangos Presunto,4
5716735923585024,Fini Morango,24
6281576065269760,Fini Tubes com Laranja,24
5166002601984000,Fini Tutti Fruti,24
5767545923567616,Halls Cereja,21
5180943585247232,Halls Extra Forte,21
5910924011503616,Halls Menta,21
5114890746331136,Halls Morango,21
5204794411057152,Kinder Barrinha,120
5370061699153920,KitKat ao Leite 45g,48
5660980839186432,Lacta ao Leite 20g,40
5979117388300288,Laka 20g,40
5671404557041664,Laka Oreo,40
6291827950878720,Lancy,60
5213437260988416,Lollo 28g,60
5695604617379840,M&M Tubo,36
5123376058204160,Mendorato,60
5746055551385600,Mentos Fruit,16
6201708665372672,Moça Chocolate,48
5662692954079232,Oreo,40
6224267913986048,Oreo Chocolate,40
6555605229633536,Oreo Morango,40
6316055592960000,Pastilha Garoto,40
5642554087309312,Paçoquita (unidade),100
5156288090603520,Pipoca Microondas Natural,36
5139419774320640,Pipoca Nhac,50
5648554290839552,Polenguinho 17g,120
6470875977089024,Prestígio 33g,60
5077540167221248,Pão de Mel,42
5072025831866368,Sensação,48
4871574171680768,Shot 20g,40
5076324926357504,Snickers 52g,40
5698949524488192,Talento Amendoas e Passas,15
5131055862382592,Talento Avelã,15
4832638648975360,Talento Branco Cereais e Passas,15
5163349922807808,Talento Castanha do Para,15
6310694467141632,Tic Tac Laranja,28
5702666986455040,Tic Tac Menta,28
5085604337418240,Toddynho 200ml,81
5757334940811264,Torcida Bacon,20
4909449173008384,Torcida Pizza,20
6035554063876096,Twix 15g,90
